ArticleID,topic_1,topic_1_prop,topic_2,topic_2_prop,topic_3,topic_3_prop
34153941,7,0.23199858,2,0.204838111996651,85,0.15961517393589
34153942,67,0.3349325,44,0.207648620009422,70,0.195407301187515
34153964,72,0.32628933,85,0.274621278047562,24,0.166924491524696
34153968,1,0.37717044,11,0.313724040985107,95,0.193985983729363
34153978,16,0.30127847,64,0.190192759037018,31,0.146866291761398
34153979,89,0.55218786,41,0.198970183730125,30,0.113070130348206
34153980,1,0.2820908,2,0.267186492681503,68,0.251564204692841
34153982,66,0.28569764,91,0.227111250162125,1,0.211047023534775
34153983,91,0.47726867,47,0.186155170202255,66,0.126319780945778
34153984,43,0.24329114,90,0.218756780028343,66,0.165334090590477
34153985,66,0.52351165,52,0.185524880886078,91,0.169554188847542
34153986,68,0.6328757,47,0.259904861450195,47,0.259904861450195
34153989,22,0.3832241,84,0.292871028184891,71,0.121719896793365
34154038,13,0.7270435,13,0.727043509483337,13,0.727043509483337
34159821,47,0.34104759,1,0.276330322027206,74,0.145675823092461
34159834,53,0.76262385,82,0.0895705819129944,82,0.0895705819129944
34159907,84,0.32336867,20,0.23701086640358,91,0.119690388441086
34159908,72,0.6340198,1,0.239860847592354,1,0.239860847592354
34159909,92,0.29362294,68,0.236236214637756,20,0.197529464960098
34159910,64,0.5452244,20,0.188858479261398,66,0.132012084126472
34159911,43,0.53015745,52,0.195620238780975,49,0.116783179342747
34159912,93,0.86084795,93,0.860847949981689,93,0.860847949981689
34159913,82,0.33095273,92,0.267199665307999,64,0.171652317047119
34159914,1,0.28188246,32,0.217283636331558,56,0.2160574644804
34159915,91,0.28195873,23,0.204848662018776,48,0.159360468387604
34159916,91,0.35059595,20,0.328483045101166,50,0.172762498259544
34159917,43,0.36334148,72,0.326068460941315,47,0.134641006588936
34159918,56,0.27750418,13,0.256409645080566,16,0.191873341798782
34159919,23,0.29432935,81,0.284517139196396,69,0.215424180030823
34159920,74,0.68108517,56,0.180007487535477,56,0.180007487535477
34159921,43,0.69473994,72,0.142244666814804,1,0.0430979579687119
34159922,82,0.31781974,1,0.19116972386837,56,0.124237164855003
34159923,20,0.40234894,68,0.211962014436722,43,0.139181509613991
34159924,84,0.8600032,84,0.860003173351288,84,0.860003173351288
34159925,97,0.29781494,73,0.283068090677261,51,0.248547837138176
34159926,37,0.5925036,52,0.136409312486649,46,0.134612545371056
34159927,1,0.87431914,1,0.874319136142731,1,0.874319136142731
34159928,2,0.5381703,41,0.181898459792137,8,0.115567594766617
34159929,20,0.72839546,55,0.123663321137428,55,0.123663321137428
34159930,39,0.673544,22,0.176939576864243,22,0.176939576864243
34159931,64,0.5558476,43,0.294638693332672,43,0.294638693332672
34159932,66,0.41118354,4,0.238589107990265,58,0.163146927952766
34159933,1,0.71583295,13,0.0773803219199181,13,0.0773803219199181
34159934,2,0.676601,43,0.194609060883522,43,0.194609060883522
34159935,32,0.54263645,44,0.149742916226387,45,0.141633212566376
34159936,80,0.5043907,88,0.232524767518044,88,0.232524767518044
34159937,2,0.28040618,16,0.237921565771103,3,0.191118612885475
34159938,1,0.33473754,81,0.181442216038704,68,0.175653696060181
34159939,63,0.4284887,21,0.214521422982216,72,0.210533276200294
34159940,20,0.39933634,9,0.282195329666138,80,0.155290082097054
34159941,16,0.28812551,2,0.279118716716766,43,0.246555492281914
34159942,56,0.32068405,2,0.265092939138412,1,0.257050693035126
34159943,12,0.31922448,81,0.249213248491287,68,0.226403161883354
34159944,47,0.39749783,2,0.379228264093399,98,0.0535572469234467
34159945,1,0.85090804,1,0.850908041000366,1,0.850908041000366
34159946,57,0.27267915,20,0.228551372885704,79,0.200169622898102
34159947,66,0.823159,20,0.0300307292491198,20,0.0300307292491198
34159948,53,0.2757523,20,0.25314736366272,41,0.235309094190598
